Timestamp,What is the title of this video post?,What is the date of this video post,Visibility,Subjects (check as many as applicable),Content,Post Content,Please describe the inaccuracy if one was observed
5/2/2020 18:39:25,Ring Doorbell Stolen,5/26/2019,The video is partially lit so you can see some of what is happening but it is not totally clear,"One or more of the subjects in the video appear to be male or male-identified, One or more of the subjects in the video appear to be Black","This video seems to document fairly clearly a crime against property (theft, damage)",The post accompanying this video accurately reflects the video content,Subject appears to be trying to steal Ring camera
5/4/2020 22:11:23,Guy looking into our house 6/10,6/10/2017,The video is partially lit so you can see some of what is happening but it is not totally clear,"One or more of the subjects in the video appear to be male or male-identified, I cannot tell answer this question because the video is too unclear or poorly lit",This video contains no evidence of a crime,The post accompanying this video accurately reflects the video content,
5/4/2020 22:17:40,Burglary of Unoccupied House,12/2/2018,The video is partially lit so you can see some of what is happening but it is not totally clear,I cannot tell answer this question because the video is too unclear or poorly lit,"This video seems to document fairly clearly a crime against property (theft, damage)",Only the first 10 minutes are presented,The color of the car cannot be determined from the video
5/4/2020 22:20:06,Man acting suspicious,2/3/2019,The video is clearly enough lit that it is easy to see what is happening,"One or more of the subjects in the video appear to be male or male-identified, One or more of the subjects in the video appear to be Black",This video contains no evidence of a crime,The post accompanying this video accurately reflects the video content,
5/4/2020 22:22:54,Elderly Man Excreted on My Porch,8/31/2019,The video is clearly enough lit that it is easy to see what is happening,"One or more of the subjects in the video appear to be male or male-identified, One or more of the subjects in the video appear to be White",This video contains no evidence of a crime,The post accompanying this video does not accurately reflect the video content,"The video shows a man in the doorway. What he has done is not shown, nor is his 'walker'"
5/4/2020 22:28:21,unknown person asking for tuna,11/26/2017,The video is clearly enough lit that it is easy to see what is happening,"One or more of the subjects in the video appear to be male or male-identified, One or more of the subjects in the video appear to be White",This video contains no evidence of a crime,The post accompanying this video accurately reflects the video content,No inaccuracy. Maybe he had a hungry cat?
5/4/2020 22:30:05,Home as homeless encampment,7/9/2018,The video is clearly enough lit that it is easy to see what is happening,I cannot tell answer this question because the video is too unclear or poorly lit,This video contains no evidence of a crime,unless sleeping in someone else's doorway is a 'crime',
5/4/2020 22:34:47,Package Thief,9/22/2019,The video is clearly enough lit that it is easy to see what is happening,"One or more of the subjects in the video appear to be female or female-identified, I cannot tell answer this question because the video is too unclear or poorly lit","This video might suggest a possible crime against property (theft, damage)",The post shows a female leaving with a package. ,"Where the package was and her entrance is not shown or visible, so whether this is theft is not clear."
5/4/2020 22:37:16,Stolen car cover right in front of my house,11/8/2019,The video is clearly enough lit that it is easy to see what is happening,"One or more of the subjects in the video appear to be male or male-identified, I cannot tell answer this question because the video is too unclear or poorly lit","This video might suggest a possible crime against property (theft, damage)",The post accompanying this video does not accurately reflect the video content,"It shows a person removing a car cover, but not leaving with it yet"
5/4/2020 22:40:13,"This guy is going door to door, scooping...",9/10/2019,The video is clearly enough lit that it is easy to see what is happening,"One or more of the subjects in the video appear to be male or male-identified, One or more of the subjects in the video appear to be White",This video contains no evidence of a crime,The post accompanying this video does not accurately reflect the video content,It shows a person knocking on one house door. It does not show 'going from house to house'
5/4/2020 22:44:03,man entered building in the TL Ellis &Taylor,2/21/2018,The video is clearly enough lit that it is easy to see what is happening,"One or more of the subjects in the video appear to be male or male-identified, One or more of the subjects in the video appear to be Black",This video contains no evidence of a crime,The post accompanying this video does not accurately reflect the video content,"The video shows a man opening the gate by entering a code in the controller. It does not show him leaving, so it cannot be said that he took a package. "
5/4/2020 22:46:37,Package thief,10/31/2019,The video is clearly enough lit that it is easy to see what is happening,"One or more of the subjects in the video appear to be male or male-identified, One or more of the subjects in the video appear to be White","This video seems to document fairly clearly a crime against property (theft, damage)",The post accompanying this video accurately reflects the video content,
5/4/2020 22:49:13,Random lady rings doorbell,3/21/2018,The video is clearly enough lit that it is easy to see what is happening,"One or more of the subjects in the video appear to be female or female-identified, One or more of the subjects in the video appear to be people of color but it is not clear to me which particular ethnic group",This video contains no evidence of a crime,The post accompanying this video accurately reflects the video content,
5/4/2020 22:51:29,Anyone know her? She looks familiar.,8/11/2018,The video is clearly enough lit that it is easy to see what is happening,"One or more of the subjects in the video appear to be female or female-identified, One or more of the subjects in the video appear to be White",This video contains no evidence of a crime,The post accompanying this video accurately reflects the video content,
5/4/2020 23:02:00,Someone tried to break me in,12/12/2018,The video is partially lit so you can see some of what is happening but it is not totally clear,"One or more of the subjects in the video appear to be male or male-identified, One or more of the subjects in the video appear to be Latino/a/X",This video contains no evidence of a crime,The post accompanying this video does not accurately reflect the video content,The video  does not show the person leaving on a bike.
5/4/2020 23:04:58,Woman ringing Doorbell at 1:40am,4/12/2017,The video is clearly enough lit that it is easy to see what is happening,"One or more of the subjects in the video appear to be female or female-identified, One or more of the subjects in the video appear to be White",This video contains no evidence of a crime,The post accompanying this video accurately reflects the video content,
5/4/2020 23:06:49,UPS Driver THROWS package!!,8/17/2017,The video is clearly enough lit that it is easy to see what is happening,"One or more of the subjects in the video appear to be male or male-identified, One or more of the subjects in the video appear to be White",This video contains no evidence of a crime,The post accompanying this video accurately reflects the video content,
5/4/2020 23:28:12,2:13am Visit by random guy,4/22/2018,The video is clearly enough lit that it is easy to see what is happening,"One or more of the subjects in the video appear to be male or male-identified, One or more of the subjects in the video appear to be White","This video might suggest a possible crime against property (theft, damage)",The post accompanying this video does not accurately reflect the video content,"Can't tell what he does with the mail. He may have taken some, you cannot see if he is still holding any"
5/4/2020 23:40:15,Attempted mailbox theft.,10/24/2019,The video is partially lit so you can see some of what is happening but it is not totally clear,"One or more of the subjects in the video appear to be female or female-identified, One or more of the subjects in the video appear to be people of color but it is not clear to me which particular ethnic group","This video might suggest a possible crime against property (theft, damage)",The post accompanying this video does not accurately reflect the video content,"The video does not show what she is doing at the door, it may be that she just looked at something."
5/4/2020 23:43:48,same man selling something at shrader & grattan?,1/14/2018,The video is clearly enough lit that it is easy to see what is happening,"One or more of the subjects in the video appear to be male or male-identified, One or more of the subjects in the video appear to be Black",This video contains no evidence of a crime,The post accompanying this video does not accurately reflect the video content,No audio conversations are included in the video. No mention of 'shrader & grattan'
5/4/2020 23:49:23,Man stealing items off our porch and lawn,6/7/2019,The video is partially lit so you can see some of what is happening but it is not totally clear,"One or more of the subjects in the video appear to be male or male-identified, One or more of the subjects in the video appear to be people of color but it is not clear to me which particular ethnic group",This video contains no evidence of a crime,The post accompanying this video does not accurately reflect the video content,"Do not see baby stroller. Person looks at things in the street, not clear if that is private at all."
5/4/2020 23:52:01,US Postman!,5/23/2018,The video is clearly enough lit that it is easy to see what is happening,"One or more of the subjects in the video appear to be male or male-identified, One or more of the subjects in the video appear to be Asian or South Asian",This video contains no evidence of a crime,The post is a gratuitous complaint,
5/4/2020 23:53:53,Vandal on Powell Street North Beach,12/28/2019,The video is clearly enough lit that it is easy to see what is happening,"One or more of the subjects in the video appear to be male or male-identified, I cannot tell answer this question because the video is too unclear or poorly lit","This video seems to document fairly clearly a crime against property (theft, damage)",The post accompanying this video accurately reflects the video content,
5/5/2020 0:06:22,Suspicious guy at door,6/28/2019,The video is clearly enough lit that it is easy to see what is happening,"One or more of the subjects in the video appear to be male or male-identified, One or more of the subjects in the video appear to be Latino/a/X",This video contains no evidence of a crime,The post accompanying this video accurately reflects the video content,
5/7/2020 14:28:48,Suspicious man,1/12/2019,The video is clearly enough lit that it is easy to see what is happening,"One or more of the subjects in the video appear to be male or male-identified, One or more of the subjects in the video appear to be people of color but it is not clear to me which particular ethnic group",This video contains no evidence of a crime,The post accompanying this video accurately reflects the video content,
5/7/2020 14:31:28,"Strang: Ringing , looking away, then walking away",4/12/2019,The video is clearly enough lit that it is easy to see what is happening,One or more of the subjects in the video appear to be male or male-identified,This video contains no evidence of a crime,The post accompanying this video accurately reflects the video content,
5/7/2020 14:38:27,Suspicious man,12/1/2019,The video is clearly enough lit that it is easy to see what is happening,"One or more of the subjects in the video appear to be male or male-identified, One or more of the subjects in the video appear to be people of color but it is not clear to me which particular ethnic group",This video contains no evidence of a crime,The post accompanying this video accurately reflects the video content,
5/7/2020 14:38:57,"Strang: Ringing , looking away, then walking away",12/4/2018,The video is clearly enough lit that it is easy to see what is happening,One or more of the subjects in the video appear to be male or male-identified,This video contains no evidence of a crime,The post accompanying this video accurately reflects the video content,
5/7/2020 14:43:44,1:14am flashlight directed at my door,3/15/2019,The video is badly lit and it is difficult to be sure what is happening,I cannot tell answer this question because the video is too unclear or poorly lit,This video contains no evidence of a crime,The post accompanying this video accurately reflects the video content,
5/7/2020 14:45:03,Checking door handles at night,12/30/2019,The video is partially lit so you can see some of what is happening but it is not totally clear,"One or more of the subjects in the video appear to be male or male-identified, One or more of the subjects in the video appear to be Black","This video might suggest a possible crime against property (theft, damage)",The post accompanying this video accurately reflects the video content,
5/7/2020 14:46:25,Suspicious person checking lock box,5/4/2019,The video is clearly enough lit that it is easy to see what is happening,"One or more of the subjects in the video appear to be male or male-identified, One or more of the subjects in the video appear to be people of color but it is not clear to me which particular ethnic group","This video might suggest a possible crime against property (theft, damage)",The post accompanying this video accurately reflects the video content,
5/7/2020 14:55:01,Casing the neighborhood,9/14/2018,The video is partially lit so you can see some of what is happening but it is not totally clear,"One or more of the subjects in the video appear to be male or male-identified, One or more of the subjects in the video appear to be Black",This video contains no evidence of a crime,The post accompanying this video does not accurately reflect the video content,"Caption claims a repeated pattern that's impossible to verify from the video, also refers to ""crooks"" although the video does not depict any act of theft."
5/7/2020 19:25:08,Trying to open the car doors....stealing?,12/9/2018,The video is clearly enough lit that it is easy to see what is happening,"One or more of the subjects in the video appear to be male or male-identified, One or more of the subjects in the video appear to be White",This video contains no evidence of a crime,The post accompanying this video does not accurately reflect the video content,The post does not describe what happens but asks if anyone recognizes the person who appears in the video
5/7/2020 19:26:46,Package theft,1/5/2020,The video is partially lit so you can see some of what is happening but it is not totally clear,"One or more of the subjects in the video appear to be male or male-identified, One or more of the subjects in the video appear to be Black","This video seems to document fairly clearly a crime against property (theft, damage)",The post accompanying this video accurately reflects the video content,
5/7/2020 19:29:12,Thanks neighbor!,6/8/2018,The video is clearly enough lit that it is easy to see what is happening,"One or more of the subjects in the video appear to be male or male-identified, One or more of the subjects in the video appear to be female or female-identified, One or more of the subjects in the video appear to be Black, One or more of the subjects in the video appear to be White",This video contains no evidence of a crime,The post accompanying this video accurately reflects the video content,
5/7/2020 19:31:34,Need your help to identify this car vandal!,2/6/2020,The video is clearly enough lit that it is easy to see what is happening,"One or more of the subjects in the video appear to be male or male-identified, One or more of the subjects in the video appear to be people of color but it is not clear to me which particular ethnic group","This video seems to document fairly clearly a crime against property (theft, damage)",The post accompanying this video accurately reflects the video content,
5/7/2020 19:38:43,home burglarized Ellsworth street,10/27/2018,The video is clearly enough lit that it is easy to see what is happening,I cannot tell answer this question because the video is too unclear or poorly lit,This video contains no evidence of a crime,The post accompanying this video does not accurately reflect the video content,"The caption claims to show a home burglary where two men are the culprits. The video does not show any human figures or anyone entering the house. All that appears in the video is a car that drives in front of the house and lingers for approximately 30 seconds. At the very end of the video, a second car drives by but does not stop. No one gets out of either car. 
Note: I could not answer the above question about ""subjects"" because there are no human subjects that appear in the video at all"
5/7/2020 19:40:19,Suspicious person leaves a bag behind,12/10/2018,The video is partially lit so you can see some of what is happening but it is not totally clear,"One or more of the subjects in the video appear to be male or male-identified, One or more of the subjects in the video appear to be people of color but it is not clear to me which particular ethnic group",This video contains no evidence of a crime,The post accompanying this video accurately reflects the video content,
5/7/2020 19:43:39,Doorbell Thief!,12/20/2016,The video is badly lit and it is difficult to be sure what is happening,I cannot tell answer this question because the video is too unclear or poorly lit,"This video might suggest a possible crime against property (theft, damage)",The video is too unclear to determine whether or not the post is accurate,
5/7/2020 19:45:34,Stealing mail,8/2/2019,The video is clearly enough lit that it is easy to see what is happening,"One or more of the subjects in the video appear to be male or male-identified, One or more of the subjects in the video appear to be people of color but it is not clear to me which particular ethnic group","This video seems to document fairly clearly a crime against property (theft, damage)",The post accompanying this video accurately reflects the video content,
5/7/2020 19:48:16,mail thief,3/9/2017,The video is partially lit so you can see some of what is happening but it is not totally clear,"One or more of the subjects in the video appear to be male or male-identified, One or more of the subjects in the video appear to be people of color but it is not clear to me which particular ethnic group","This video seems to document fairly clearly a crime against property (theft, damage)",Accompanying post is asking a question rather than describing the video content,
5/8/2020 8:22:46,package thief,2/23/2018,The video is partially lit so you can see some of what is happening but it is not totally clear,"One or more of the subjects in the video appear to be male or male-identified, One or more of the subjects in the video appear to be White","This video might suggest a possible crime against property (theft, damage)",The post accompanying this video accurately reflects the video content,
5/8/2020 8:23:55,Packages were stolen,1/16/2020,The video is clearly enough lit that it is easy to see what is happening,"One or more of the subjects in the video appear to be male or male-identified, One or more of the subjects in the video appear to be Black","This video seems to document fairly clearly a crime against property (theft, damage)",The post accompanying this video accurately reflects the video content,
5/8/2020 8:25:59,Someone broke into my neighbor car,10/17/2019,The video is partially lit so you can see some of what is happening but it is not totally clear,I cannot tell answer this question because the video is too unclear or poorly lit,"This video might suggest a possible crime against property (theft, damage)",The post accompanying this video accurately reflects the video content,
5/8/2020 8:33:03,Thief’s Back At Station 16 Part 1,7/20/2018,The video is clearly enough lit that it is easy to see what is happening,One or more of the subjects in the video appear to be male or male-identified,This video contains no evidence of a crime,"Post refers to activity occurring in ""part 2"" of the video which is uploaded in another post; impossibly to evaluate the veracity of the caption without seeing the second part",
5/8/2020 9:11:05,Man looking into cars with a flashlight at 2:41am,3/3/2019,The video is badly lit and it is difficult to be sure what is happening,I cannot tell answer this question because the video is too unclear or poorly lit,This video contains no evidence of a crime,The post accompanying this video accurately reflects the video content,
5/8/2020 9:15:58,Car Stolen by Unmarked Tow Truck,4/21/2019,The video is clearly enough lit that it is easy to see what is happening,I cannot tell answer this question because the video is too unclear or poorly lit,"This video seems to document fairly clearly a crime against property (theft, damage)",The post accompanying this video accurately reflects the video content,Note: There are no subjects that appear at all in this video even though the lighting is clear; the video shows a tow truck linking up with a parked car and driving away. Neither the driver nor any passengers come out of the truck. 
5/8/2020 9:17:17,Stealing FedEx Letter from porch,5/4/2019,The video is clearly enough lit that it is easy to see what is happening,"One or more of the subjects in the video appear to be male or male-identified, One or more of the subjects in the video appear to be people of color but it is not clear to me which particular ethnic group","This video seems to document fairly clearly a crime against property (theft, damage)",The post accompanying this video accurately reflects the video content,
5/8/2020 9:21:04,Lock pick and package stolen (1 of 2),8/25/2019,The video is badly lit and it is difficult to be sure what is happening,One or more of the subjects in the video appear to be White,"This video might suggest a possible crime against property (theft, damage)",The post accompanying this video does not accurately reflect the video content,The post reports that the door lock was picked and a package was stolen. It is not possible to verify this claim given that the angle of the camera does not show the door or the lock. There is no package visible at all in the video and we do not see the person picking anything up or carrying anything away. 
5/8/2020 9:22:19,Thief steals package in broad daylight,7/6/2019,The video is clearly enough lit that it is easy to see what is happening,One or more of the subjects in the video appear to be male or male-identified,"This video seems to document fairly clearly a crime against property (theft, damage)",The post accompanying this video accurately reflects the video content,
5/8/2020 9:23:28,suspicious,2/11/2018,The video is clearly enough lit that it is easy to see what is happening,"One or more of the subjects in the video appear to be male or male-identified, One or more of the subjects in the video appear to be Asian or South Asian",This video contains no evidence of a crime,The post accompanying this video accurately reflects the video content,
5/8/2020 20:46:50,Part 2,2/9/2019,The video is partially lit so you can see some of what is happening but it is not totally clear,"One or more of the subjects in the video appear to be female or female-identified, One or more of the subjects in the video appear to be White",This video contains no evidence of a crime,The post accompanying this video does not accurately reflect the video content,"The description seems to refer to a ""theft"" recorded on another video somewhere; neither person in this video is clearly identifiable nor committing an apparent crime"
5/8/2020 20:59:30,Package Theft,5/9/2018,The video is clearly enough lit that it is easy to see what is happening,"One or more of the subjects in the video appear to be male or male-identified, One or more of the subjects in the video appear to be people of color but it is not clear to me which particular ethnic group","This video seems to document fairly clearly a crime against property (theft, damage)","The post accompanying this video accurately reflects the video content, Can't verify timing information, but otherwise, description seems accurate ",
5/8/2020 21:09:26,Package stolen,9/13/2019,The video is partially lit so you can see some of what is happening but it is not totally clear,"One or more of the subjects in the video appear to be male or male-identified, One or more of the subjects in the video appear to be White","This video might suggest a possible crime against property (theft, damage)",Can't verify accuracy; part of action is out of frame,"Man has bag; bends over to seemingly pick up something, then walks away with bag. Action is already underway at video start, and bag is out of frame when alleged package is picked up. Seems like he may have stolen a package, but can't be certain."
5/8/2020 21:24:17,Man checking car doors in driveways!,11/8/2019,The video is clearly enough lit that it is easy to see what is happening,"One or more of the subjects in the video appear to be male or male-identified, One or more of the subjects in the video appear to be Black","This video might suggest a possible crime against property (theft, damage)",The post accompanying this video does not accurately reflect the video content,"Subject did attempt to open at least one car door and is shown walking away from a car at the beginning of the video, so he may have tried to open a second door; he then walks away"
5/8/2020 21:33:50,thief,8/15/2018,The video is clearly enough lit that it is easy to see what is happening,"One or more of the subjects in the video appear to be male or male-identified, One or more of the subjects in the video appear to be people of color but it is not clear to me which particular ethnic group","This video might suggest a possible crime against property (theft, damage)","Subject walks up onto porch and does something, but action is off-camera",Subject has a backpack; he takes it off and bends over while doing something below camera level; he then picks up backpack and walks off
5/8/2020 21:49:01,Unsafe person,1/7/2017,The video is clearly enough lit that it is easy to see what is happening,"One or more of the subjects in the video appear to be male or male-identified, One or more of the subjects in the video appear to be White",This video contains no evidence of a crime,The description offers no information about the issue,"Building appears to be a store front, and subject does seem a bit high-strung but can't glean context from video"
5/8/2020 21:57:26,"May 27, 2019",5/28/2019,The video is clearly enough lit that it is easy to see what is happening,"One or more of the subjects in the video appear to be male or male-identified, I cannot tell answer this question because the video is too unclear or poorly lit","This video seems to document fairly clearly a crime against property (theft, damage)","The post accompanying this video accurately reflects the video content, ""pitted"" = urinated",Not sure of subject's ethnicity
5/8/2020 22:02:37,Surveyor?,9/26/2017,The video is partially lit so you can see some of what is happening but it is not totally clear,"One or more of the subjects in the video appear to be male or male-identified, I cannot tell answer this question because the video is too unclear or poorly lit",This video contains no evidence of a crime,"Subject rang doorbell, waited a bit, then left",
5/8/2020 22:06:32,Rang bell at 7/18/17. 6pm,7/19/2017,The video is clearly enough lit that it is easy to see what is happening,"One or more of the subjects in the video appear to be female or female-identified, One or more of the subjects in the video appear to be people of color but it is not clear to me which particular ethnic group",This video contains no evidence of a crime,The post doesn't specify an issue beyond subject ringing the doorbell,
5/8/2020 22:10:19,Lady taking photos,10/13/2017,The video is clearly enough lit that it is easy to see what is happening,"One or more of the subjects in the video appear to be female or female-identified, One or more of the subjects in the video appear to be White",This video contains no evidence of a crime,Can't tell whether or how long subject loitered; video starts as she's taking a photo,
5/9/2020 16:12:21,package theft,1/3/2018,The video is clearly enough lit that it is easy to see what is happening,"One or more of the subjects in the video appear to be female or female-identified, One or more of the subjects in the video appear to be White","This video seems to document fairly clearly a crime against property (theft, damage)","The post accompanying this video accurately reflects the video content, Can't verify location, but otherwise, description appears to be correct",
5/9/2020 16:21:37,Suspicious person stole my package,12/12/2018,The video is clearly enough lit that it is easy to see what is happening,"One or more of the subjects in the video appear to be male or male-identified, One or more of the subjects in the video appear to be Black","This video might suggest a possible crime against property (theft, damage)","Subject bends over and does something out of view; then walks away and appears to be carrying something. No packages are in the camera's view, so while he appears to possbily be taking something, can't say for sure",
5/9/2020 16:25:30,Thief covers camera to steal package,4/19/2017,The video is poorly lit and it is impossible to be sure what is happening,I cannot tell answer this question because the video is too unclear or poorly lit,This video contains no evidence of a crime,"Camera lens appears to be covered as poster states, but since the video only shows black, there's no way to tell what, if anything, is happening",
5/9/2020 16:42:26,STOLLLLLENNNNN PACKAGEEEEEEEEEEE,7/4/2018,The video is clearly enough lit that it is easy to see what is happening,"One or more of the subjects in the video appear to be female or female-identified, One or more of the subjects in the video appear to be White",This video contains no evidence of a crime,"Subject rings doorbell, then waits and looks around. She touches package and moves it, seemingly to read the address label, but shifts package back into orginal position. Video ends with subject still standing there, and there's no evidence theft in the video.",
5/9/2020 16:46:04,"Doorbell ditch, lol",5/13/2019,The video is clearly enough lit that it is easy to see what is happening,"One or more of the subjects in the video appear to be male or male-identified, One or more of the subjects in the video appear to be White",This video contains no evidence of a crime,The post accompanying this video accurately reflects the video content,
5/9/2020 16:53:51,mailbox theft,12/20/2017,The video is clearly enough lit that it is easy to see what is happening,"One or more of the subjects in the video appear to be female or female-identified, One or more of the subjects in the video appear to be people of color but it is not clear to me which particular ethnic group","This video seems to document fairly clearly a crime against property (theft, damage)","The post accompanying this video accurately reflects the video content, Can't verify time, but otherwise, description seems accurate",
5/9/2020 17:01:01,Suspicious person,1/3/2018,The video is clearly enough lit that it is easy to see what is happening,"One or more of the subjects in the video appear to be male or male-identified, One or more of the subjects in the video appear to be White",This video contains no evidence of a crime,Can't infer intent of subject from video,
5/9/2020 17:13:10,Packages stolen from front porch.,2/20/2019,The video is clearly enough lit that it is easy to see what is happening,"One or more of the subjects in the video appear to be male or male-identified, I cannot tell answer this question because the video is too unclear or poorly lit","This video might suggest a possible crime against property (theft, damage)","Some of the action takes place off-camera, but video content strongly suggests that what is described in post is accurate",
5/14/2020 15:32:45,Man broke and stole a part of cactus,1/8/2019,The video is clearly enough lit that it is easy to see what is happening,"One or more of the subjects in the video appear to be male or male-identified, One or more of the subjects in the video appear to be Latino/a/X","This video seems to document fairly clearly a crime against property (theft, damage)",The post accompanying this video accurately reflects the video content,
5/14/2020 15:39:18,Package thieves,10/10/2019,The video is clearly enough lit that it is easy to see what is happening,"One or more of the subjects in the video appear to be male or male-identified, One or more of the subjects in the video appear to be Black",This video contains no evidence of a crime,The post accompanying this video does not accurately reflect the video content,"The video is of several black guys carrying a chest of drawers or something like that -- something that does not at all look like a package. There may be a box sitting in/on the larger thing they're carrying, but it's not clear that it's a package at all."
5/14/2020 15:41:28,Mail Thief,8/7/2018,The video is clearly enough lit that it is easy to see what is happening,"One or more of the subjects in the video appear to be male or male-identified, One or more of the subjects in the video appear to be Black","This video seems to document fairly clearly a crime against property (theft, damage)",The post accompanying this video accurately reflects the video content,
5/14/2020 15:46:44,Shady person at the front door,8/30/2018,The video is clearly enough lit that it is easy to see what is happening,"One or more of the subjects in the video appear to be male or male-identified, One or more of the subjects in the video appear to be White",This video contains no evidence of a crime,The post accompanying this video does not accurately reflect the video content,"Seemed more like the guy was acting weird because he was on drugs; I wouldn't say he was casing anything, especially since he kept looking around in the same strange way after he was talking to the homeowner."
5/14/2020 15:50:37,Package thief,5/19/2018,The video is clearly enough lit that it is easy to see what is happening,"One or more of the subjects in the video appear to be male or male-identified, One or more of the subjects in the video appear to be Black","This video seems to document fairly clearly a crime against property (theft, damage)",The post accompanying this video accurately reflects the video content,"You never quite see the package in the video, but the person's behavior would make no sense unless they were stealing a package or similar, so, pretty accurate description."
5/14/2020 15:57:20,mail thief,3/22/2018,The video is clearly enough lit that it is easy to see what is happening,"One or more of the subjects in the video appear to be male or male-identified, One or more of the subjects in the video appear to be White",This video contains no evidence of a crime,The post accompanying this video does not accurately reflect the video content,The video starts too late to document any crime; I see a guy walking down stairs then nonchalantly continuing down the street.
5/14/2020 16:03:20,Someone trying to break in finds on the elec box,9/24/2018,The video is clearly enough lit that it is easy to see what is happening,"One or more of the subjects in the video appear to be male or male-identified, One or more of the subjects in the video appear to be White",This video contains no evidence of a crime,The post accompanying this video accurately reflects the video content,"It's contradictory to say he was trying to break in *and* that it's not clear what he was looking for, but he was probably looking for a spare key he could use to get in later, maybe? I don't think looking around like that is illegal, though."
5/14/2020 16:06:54,"Christmas wreath thief, Duboce Park",12/8/2018,The video is clearly enough lit that it is easy to see what is happening,"One or more of the subjects in the video appear to be female or female-identified, One or more of the subjects in the video appear to be White","This video seems to document fairly clearly a crime against property (theft, damage)",The post accompanying this video accurately reflects the video content,
